"categories","name","address","city","tel","fax","link","lat","lng"
"31","Triskalia LANISCAT","Zone Artisanale","22570 LANISCAT","Téléphone : 02.96.36.91.27","Fax : 02.96.36.97.83","https://www.triskalia.fr/nos-enseignes-et-magasins/triskalia-laniscat/","48.235888","-3.13206"
"31","Triskalia LANHOUARNEAU","Allée des Jonquilles","29430 LANHOUARNEAU","Téléphone : 02.98.61.60.65","Fax : 02.98.61.49.84","https://www.triskalia.fr/nos-enseignes-et-magasins/triskalia-lanhouarneau/","48.58075","-4.211746"
"31","Triskalia LANDIVISIAU","Z.A. du Fromeur","29403 LANDIVISIAU","Téléphone : 02.98.68.27.63","Fax : 02.98.24.90.29","https://www.triskalia.fr/nos-enseignes-et-magasins/triskalia-landivisiau/","48.50005","-4.069532"
"31","Triskalia LANDEVANT","44  bis rue de la Gare","56690 LANDEVANT","Téléphone : 02.97.59.95.26","Fax : 02.97.59.95.25","https://www.triskalia.fr/nos-enseignes-et-magasins/triskalia-landevant/","47.759205","-3.129499"
"31","Triskalia LANDERNEAU","Rue Jean Mermoz - ZI St Eloi","29260 PLOUDANIEL","Téléphone : 02.98.21.33.66","Fax : 02.98.21.76.61","https://www.triskalia.fr/nos-enseignes-et-magasins/triskalia-landerneau/","48.487694","-4.273974"
"31","Triskalia LA CHEZE","Rue Lanthénac","22210 LA CHEZE","Téléphone : 02.96.26.71.07","Fax : 02.96.26.66.17","https://www.triskalia.fr/nos-enseignes-et-magasins/triskalia-la-cheze/","48.1339054","-2.6525229999999738"
"31","Triskalia KERMARIA SULARD","Zone artisanale","22450 KERMARIA SULARD","Téléphone : 02.96.38.07.93","Fax : 02.96.38.43.68","https://www.triskalia.fr/nos-enseignes-et-magasins/triskalia-kermaria-sulard/","48.771567","-3.366089"
"31","Triskalia KERIEN","Bourg","22480 KERIEN","Téléphone : 02.96.45.72.71","Fax : 02.96.45.75.09","https://www.triskalia.fr/nos-enseignes-et-magasins/triskalia-kerien/","48.407337","-3.230471"
"31","Triskalia IRVILLAC","Cosquer","29460 IRVILLAC","Téléphone : 02.98.25.83.57","Fax : 02.98.25.92.35","https://www.triskalia.fr/nos-enseignes-et-magasins/triskalia-irvillac/","48.368024","-4.222093"
"31","Triskalia IFFENDIC","Route de St Gonlay","35750 IFFENDIC","Téléphone : 02.99.09.70.14","Fax : 02.99.09.78.97","https://www.triskalia.fr/nos-enseignes-et-magasins/triskalia-iffendic/","48.121945","-2.040557"
